stratum,category,points,frames,point_weighted_rmse_vector,point_weighted_mae_vector,p50_vector_error,p90_vector_error,p95_vector_error,p99_vector_error,max_vector_error,sse_share_of_all_points,mean_alt_m,mean_truth_speed_mps,mean_prediction_speed_mps,mean_nearest_train_distance_vox,mean_nearest_role_gap_mps
all_holdout_points,official_baseline,29,8,17.700294786040832,8.02646821059621,2.78932211570749,9.012433568285296,37.88680122983482,68.33072353093446,73.0,1.0,9982.758620689656,26.84317158749745,21.657489754927198,2.448599711731948,5.594437070865544
single_holdout_frame,support_tail,2,2,6.41728764779033,6.416037908638696,6.416037908638696,6.517351866274644,6.530016110979137,6.5401475067427315,6.54268035568363,0.009065129491130176,10000.0,12.0,14.54530068254034,3.2566165379829397,0.0
multi_holdout_ge2_frame,support_reference,27,6,18.26081563668666,8.145759344074545,2.7883067553192475,9.317071215930683,42.49610407499624,68.66424327872485,73.0,0.9909348705088697,9981.481481481482,27.942665779163935,22.184318575104005,2.3887466134911337,6.008839816855584
multi_holdout_ge3_frame,support_reference,27,6,18.26081563668666,8.145759344074545,2.7883067553192475,9.317071215930683,42.49610407499624,68.66424327872485,73.0,0.9909348705088697,9981.481481481482,27.942665779163935,22.184318575104005,2.3887466134911337,6.008839816855584
alt_9_12km,high_alt_tail,10,5,5.341598058965737,4.347010696627204,3.716230169747667,8.100351929928605,9.165668044397716,10.017920935973008,10.23098415886683,0.03140388760452803,10350.0,27.49831729098504,28.326439031147526,1.5163514615838765,2.2070930162676836
alt_12km_plus,high_alt_tail,10,6,29.411597702936767,15.88109337802808,3.865759854875285,57.991611349432276,65.49580567471612,71.49916113494324,73.0,0.9520905125213187,13900.0,35.6,21.645091832353216,4.869961265444575,10.220325097720139
alt_12km_plus_single_holdout,combined_tail,0,0,,,,,,,,0.0,,,,,
context_only_nearest_support,context_tail,8,6,26.250202956168017,12.9996199419639,4.853237080855553,27.914857783533662,50.457428891766796,68.49148577835335,73.0,0.6067311906605198,11687.5,27.125,18.42018781107223,5.702200518724299,0.0
alt_12km_plus_context_only,combined_tail,5,4,32.95402838010117,18.109340498424242,3.417078700117343,47.23706159059067,60.11853079529532,70.42370615905907,73.0,0.5976240008441149,14300.0,37.6,22.58708692659051,7.820874214765702,0.0
single_holdout_context_only,combined_tail,2,2,6.41728764779033,6.416037908638696,6.416037908638696,6.517351866274644,6.530016110979137,6.5401475067427315,6.54268035568363,0.009065129491130176,10000.0,12.0,14.54530068254034,3.2566165379829397,0.0
nearest_context_wind,support_tail,12,7,21.67323617246427,10.374416286724944,4.499458934320362,8.69628172622359,37.639287756351905,65.92785755127042,73.0,0.6203971250111918,10416.666666666666,22.998756532281245,16.3217600209998,3.8014670124828656,1.5985101221809437
nearest_current_wind_train,support_reference,17,6,14.243600494134444,6.369093098034755,2.363292367504792,8.810562672908015,19.449589849189493,48.94912805822215,56.32401261048032,0.37960287498880796,9676.470588235294,29.556876332355955,25.42388721417007,1.4936345582607116,8.415091387584084
nearest_distance_gt4vox,remote_support_tail,4,4,46.23785303028447,34.653839006592975,31.433346483081973,67.9972037831441,70.49860189157204,72.49972037831441,73.0,0.9412312010933035,13250.0,47.0,14.25480311788433,11.478070662666465,3.3946063020605366
role_gap_ge30mps,role_conflict_tail,1,1,5.144742169460311,5.144742169460311,5.144742169460311,5.144742169460311,5.144742169460311,5.144742169460311,5.144742169460311,0.0029131861273278136,14500.0,16.0,10.98873091399158,2.23606797749979,74.77902674538316
role_conflict_at_point,role_conflict_tail,7,3,4.349038648166624,3.1547473992777735,1.8275539310061513,6.307715181119471,8.269349669993145,9.838657261092091,10.23098415886683,0.014572215250068861,8500.0,30.995594723963272,31.416837723065463,1.0591733660532994,3.394618971725635
qc_review_flag,qc_tail,17,8,22.808469751128694,11.03229094768213,3.417078700117343,28.66819553951224,59.65921008838424,70.33184201767685,73.0,0.9733795609520108,10705.882352941177,29.82171547457311,22.29085989150733,3.493587724428526,6.5952814562179265
no_qc_review_flag,clean_reference,12,6,4.4894845590463826,3.7682193330578264,2.768652798097664,7.636481260333362,8.243496422869136,8.614936021085759,8.707795920639914,0.026620439047989393,8958.333333333334,22.62356774747361,20.76021539477201,0.9682000270784626,4.176574191616335
high_vector_error_ge30mps,error_tail,2,2,65.19737109939919,64.66200630524015,64.66200630524015,71.33240126104803,72.16620063052402,72.8332401261048,73.0,0.9356882330393024,14250.0,65.0,0.33826034579847614,17.857121811740143,6.789212604121073
extreme_truth_speed_ge120mps,qc_tail,0,0,,,,,,,,0.0,,,,,
extreme_prediction_speed_ge120mps,qc_tail,0,0,,,,,,,,0.0,,,,,
