stratum,category,points,frames,point_weighted_rmse_vector,point_weighted_mae_vector,p50_vector_error,p90_vector_error,p95_vector_error,p99_vector_error,max_vector_error,sse_share_of_all_points,mean_alt_m,mean_truth_speed_mps,mean_prediction_speed_mps,mean_nearest_train_distance_vox,mean_nearest_role_gap_mps
all_holdout_points,official_baseline,23,8,4.08731831083527,3.57323631129544,3.4204526569529268,5.936065290692152,7.670780619058942,8.183130224713972,8.274112303081226,1.0,10000.0,24.148571238262043,24.892732420907222,1.197801356175502,15.210485362412303
single_holdout_frame,support_tail,0,0,,,,,,,,0.0,,,,,
multi_holdout_ge2_frame,support_reference,23,8,4.08731831083527,3.57323631129544,3.4204526569529268,5.936065290692152,7.670780619058942,8.183130224713972,8.274112303081226,1.0,10000.0,24.148571238262043,24.892732420907222,1.197801356175502,15.210485362412303
multi_holdout_ge3_frame,support_reference,13,3,4.163828888540238,3.6650280968739843,3.4204526569529268,5.930082494620576,6.88731866796199,7.996753576057378,8.274112303081226,0.5865760713813528,10076.923076923076,25.95516449846361,27.033701259022237,1.4055011018851677,3.177930689300761
alt_9_12km,high_alt_tail,3,3,4.039308548705104,4.024604862857102,4.036685072342912,4.35946679597068,4.39981451142415,4.4320926837869274,4.4401622268776215,0.1273885969411963,10833.333333333334,26.666666666666668,27.900240733174133,2.1283882690448346,8.982735631592085
alt_12km_plus,high_alt_tail,10,7,3.6530233504975413,3.1322250524633617,2.1625414638577243,5.842530285525916,5.9026599317042105,5.950763648646847,5.962789577882505,0.347296285852728,13800.0,32.1,31.60258349751433,1.0099771282656063,2.6899463724210384
alt_12km_plus_single_holdout,combined_tail,0,0,,,,,,,,0.0,,,,,
context_only_nearest_support,context_tail,7,6,3.584495502267793,3.2132965324271128,3.4204526569529268,5.049213167279576,5.506001372581039,5.871431936822211,5.962789577882505,0.23407194388630298,12714.285714285714,25.0,26.500797239236597,1.7243889324882105,0.0
alt_12km_plus_context_only,combined_tail,5,5,3.309869152479234,2.8244772005686416,1.6950505706593322,4.945854809510674,5.454322193696589,5.861096101045322,5.962789577882505,0.1425564583489226,13800.0,30.6,31.784136793526763,1.3371115440565935,0.0
single_holdout_context_only,combined_tail,0,0,,,,,,,,0.0,,,,,
nearest_context_wind,support_tail,10,7,3.760582969772586,3.3575374251476924,3.6754900771109433,5.815607703203822,5.889198640543164,5.948071390414637,5.962789577882505,0.36804895769867324,12500.0,24.3,24.723882686774797,1.2070722527417472,4.0066775218571475
nearest_current_wind_train,support_reference,13,7,4.321877171203572,3.739158531409092,2.5935916472844998,7.454279549515655,8.02597936207962,8.224485714880904,8.274112303081226,0.6319510423013267,8076.923076923077,24.03208757538669,25.022616831778315,1.1906698972783905,23.828799085916277
nearest_distance_gt4vox,remote_support_tail,1,1,4.4401622268776215,4.4401622268776215,4.4401622268776215,4.4401622268776215,4.4401622268776215,4.4401622268776215,4.4401622268776215,0.05130892528475856,11500.0,16.0,20.17301191301174,5.385164807134504,0.0
role_gap_ge30mps,role_conflict_tail,2,2,5.7106959720813215,4.857065395447583,4.857065395447583,7.259859000219023,7.5602082008154525,7.800487561292597,7.860557401411882,0.16974747280446367,8250.0,25.0,29.061244103823448,1.4142135623730951,136.7612397692959
role_conflict_at_point,role_conflict_tail,6,5,4.966193798158079,4.083571256443775,2.313385902788095,8.067334852246555,8.17072357766389,8.253434557997759,8.274112303081226,0.38511800135747354,9750.0,25.333333333333332,27.61032155424806,1.4131181107698458,47.15614712552349
qc_review_flag,qc_tail,13,7,4.278018422350639,3.6149617896655717,2.4386702886053806,7.481003836706009,8.02597936207962,8.224485714880904,8.274112303081226,0.6191899452437765,11346.153846153846,25.153846153846153,27.012885384626507,1.5807254763105036,21.764375596395457
no_qc_review_flag,clean_reference,10,6,3.8252214487324103,3.5189931894142688,3.6463951360270235,5.802245559608646,5.8157068507696925,5.82647588369853,5.829168141930739,0.3808100547562235,8250.0,22.841713848002694,22.136533568072146,0.7,6.690428058234213
high_vector_error_ge30mps,error_tail,0,0,,,,,,,,0.0,,,,,
extreme_truth_speed_ge120mps,qc_tail,0,0,,,,,,,,0.0,,,,,
extreme_prediction_speed_ge120mps,qc_tail,0,0,,,,,,,,0.0,,,,,
